Subcluster_id,Q-score,No_of_motifs
1151,0.36379664481761365,4
334,0.36332254925752877,8
1100,0.3629764181576061,6
1340,0.3623236754197414,3
1882,0.3622832493221415,2
634,0.3620034033123759,6
1224,0.3617847573703497,6
795,0.36147281347009974,4
1813,0.3608809795232942,4
1540,0.36076037540213973,6
2045,0.36049136972287843,4
850,0.3600220334915651,5
356,0.35952442325719,6
1574,0.3583334303958956,2
730,0.3578305113275511,4
2216,0.3572734287670767,8
120,0.35600586208881746,4
1038,0.3557486900163907,5
1228,0.3554812435502994,5
2042,0.35436848713341557,4
412,0.35426901349477413,5
1844,0.3541808592861105,3
1169,0.3541783432988792,4
705,0.3532919147313223,4
1792,0.3530550904956244,7
966,0.35235537250456467,4
1526,0.3522258787892154,3
1611,0.3521343385269785,5
500,0.3515553085282437,5
449,0.35154878841294307,5
1155,0.35141739211652256,5
538,0.3493229430342478,5
1871,0.3488437769208781,4
721,0.3487267478303099,8
1826,0.3479247609276353,7
1868,0.34773218445470705,8
512,0.34764244716935266,4
169,0.34724453815735423,6
799,0.34702175710059247,4
1200,0.3464416604104258,5
821,0.3462519092702243,5
1429,0.34607641827054675,3
437,0.3459564181148292,5
718,0.3454714412648224,4
1592,0.3454285946220737,4
2340,0.3447416284129228,5
1822,0.34452870615596914,4
571,0.34445911412225677,3
927,0.34418696290798856,5
1302,0.34406937757893763,5
895,0.3437699802439882,5
504,0.3432988057755836,4
981,0.34328218883383244,6
2292,0.342850667002467,5
1523,0.3422148991526497,3
503,0.34215452540761265,4
1120,0.3420206588847939,4
788,0.3411940132970082,3
1178,0.3411828215248518,4
637,0.3410981672756951,11
266,0.34075863188401856,5
2232,0.34072281962669626,7
725,0.3400915564741459,8
202,0.339995375215614,4
2,0.339422045392042,10
851,0.3393110864952819,5
1919,0.338759685304872,4
1231,0.33803337683172013,5
1641,0.3379536287325704,6
446,0.33771679776768115,6
1959,0.337576429097391,3
2047,0.33707779546460165,5
2114,0.33675530491400146,4
877,0.336719217811215,6
297,0.3363430099868998,7
1247,0.33504009194843914,5
870,0.3349557094167054,4
1479,0.3347392637386668,5
1061,0.3346864083013279,3
1125,0.3345841152295564,4
2281,0.3344853408684672,6
758,0.33403545367341714,6
682,0.3337964578138843,7
915,0.3337905680594341,4
1679,0.33373983235484217,6
677,0.3333739981632974,5
1654,0.33314181731279857,5
1756,0.33300518395706363,4
1601,0.3329868524055742,5
1215,0.3319411058901135,5
1048,0.3317946428724973,5
1138,0.33173386939803845,4
998,0.33151568420449007,6
965,0.33132245258102505,6
1829,0.3308859109018958,3
1430,0.33079075579145134,3
1618,0.33038574422125544,3
1575,0.3303236367589469,3
549,0.33003031888806755,8
892,0.32980101389350547,5
307,0.32884681953665384,5
1808,0.32884085922167905,9
1790,0.3278920655777108,4
1413,0.32766476219512375,4
1408,0.3274755196203882,4
763,0.3274090141392561,3
100,0.3265760189972828,3
744,0.32656845149121777,5
1533,0.3265258680894162,3
2091,0.3261454089990143,5
2131,0.3256587161705049,4
365,0.32518985232998027,4
919,0.32429313248892105,4
189,0.3229167726910479,12
341,0.3229145159636876,3
1916,0.32272126168488935,4
1510,0.3217418242388231,4
150,0.3213931977070098,10
457,0.32087317861822107,3
1368,0.3204809368259731,5
854,0.3197126717567564,3
1772,0.31959785558358705,4
1267,0.3195261242464843,5
